date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.975;F_est;F_0.025;F_0.975
2021-10-01;60+;38;38,0;38;38;276;276,0;276;276;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-01;alle;76;76,0;76;76;534;534,0;534;534;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-30;0-60;27;27,0;27;27;257;257,0;257;257;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-30;60+;41;41,0;41;41;276;276,0;276;276;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-30;alle;68;68,0;68;68;533;533,0;533;533;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-29;0-60;44;44,0;44;44;261;261,0;261;261;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-29;60+;36;36,0;36;36;266;266,0;266;266;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-29;alle;80;80,0;80;80;527;527,0;527;527;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-28;0-60;30;30,0;30;30;255;255,0;255;255;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-28;60+;39;39,0;39;39;263;263,0;263;263;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-28;alle;69;69,0;69;69;518;518,0;518;518;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-27;0-60;54;54,0;54;54;266;266,0;266;266;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-27;60+;67;67,0;67;67;259;259,0;259;259;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-27;alle;121;121,0;121;121;525;525,0;525;525;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-26;0-60;30;30,0;30;30;259;259,0;259;259;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-26;60+;27;27,0;27;27;225;225,0;225;225;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-26;alle;57;57,0;57;57;484;484,0;484;484;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-25;0-60;35;35,0;35;35;262;262,0;262;262;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-25;60+;28;28,0;28;28;224;224,0;224;224;1,0000000000000000;1,000000000000000;1,0000000000000000
